Wild Fall Chinook,Hatchery Fall Chinook,Wild Type N Coho,Hatchery Type S Coho,Unknown Chum
223,236,258,256,298
223,237,259,258,302
228,237,260,258,304
228,238,261,258,304
234,240,262,259,304
234,240,263,259,304
235,242,263,260,304
235,242,264,261,304
236,243,264,261,305
236,244,264,261,305
236,245,266,262,305
237,246,267,263,305
237,246,269,263,305
238,246,269,263,305
238,246,269,263,305
243,247,272,264,306
243,247,272,264,307
244,248,272,264,308
244,248,272,264,308
245,249,272,264,308
245,249,272,264,308
245,249,274,264,308
246,249,274,264,308
246,249,276,266,308
246,250,276,266,308
246,250,282,267,308
246,250,282,267,309
246,251,284,267,309
246,252,285,269,309
246,252,285,269,309
247,253,285,269,309
247,253,285,272,309
248,253,285,272,309
248,254,286,272,309
249,254,286,272,309
249,254,286,272,309
249,255,287,272,310
250,255,287,272,310
250,255,289,272,310
255,256,289,272,312
255,256,289,274,312
255,256,289,274,313
256,257,289,274,317
256,257,289,275,317
256,257,289,276,317
258,258,289,276,317
258,258,289,276,317
259,258,289,276,320
259,258,289,277,320
260,258,289,278,320
260,258,291,281,320
260,259,292,282,320
260,259,292,282,320
260,260,292,284,320
261,260,292,285,321
261,260,292,285,321
261,260,292,285,321
261,260,292,285,321
261,260,292,285,321
261,260,292,286,322
261,261,293,287,322
261,261,293,287,323
261,261,293,288,323
261,261,293,288,323
261,261,293,289,323
262,261,293,289,323
262,261,293,289,323
264,262,294,289,324
264,262,294,289,326
264,262,294,289,326
264,262,295,289,326
264,263,295,289,328
264,263,305,291,328
265,263,305,292,328
265,263,309,292,328
266,263,309,292,329
266,263,309,292,329
266,264,310,292,329
266,264,310,292,329
266,264,310,292,329
269,264,311,293,329
269,265,311,293,330
269,266,312,293,331
269,266,312,293,331
269,266,320,294,331
272,266,321,294,334
272,269,321,295,334
272,269,323,296,336
274,269,324,304,336
274,272,324,306,336
274,272,351,307,336
277,272,,308,338
277,276,,309,338
277,277,,309,340
277,280,,310,341
277,282,,310,343
277,,,311,343
278,,,312,344
278,,,312,345
279,,,,354
279,,,,
282,,,,
282,,,,
328,,,,
328,,,,
