Wild Spring Chinook,Hatchery Spring Chinook,Wild Fall Pink
174,174,220
174,181,220
175,181,220
177,182,225
177,184,225
181,185,225
181,187,227
182,188,227
182,188,227
182,188,227
182,191,227
186,193,227
187,193,228
187,194,229
188,194,229
188,194,229
189,194,230
191,195,230
191,195,230
192,195,230
192,195,230
192,196,230
193,196,230
194,196,230
194,196,230
195,197,230
195,197,230
195,197,230
196,198,230
196,198,230
196,198,230
196,198,230
196,198,230
196,198,230
196,198,230
197,199,230
197,199,230
197,199,230
197,199,232
197,199,232
197,199,232
197,199,232
197,199,232
197,200,232
197,200,232
197,200,232
198,200,232
198,200,232
198,201,232
198,201,232
198,201,232
198,201,232
198,201,232
198,201,232
198,202,232
198,202,232
198,202,232
199,202,232
199,202,232
199,202,232
199,202,233
199,202,233
199,203,233
199,203,233
199,203,233
200,203,234
200,203,234
200,203,234
200,203,234
200,203,234
200,203,234
200,203,234
201,203,237
201,203,239
201,203,239
201,203,239
201,203,239
201,203,239
201,203,239
201,204,239
202,204,239
203,204,239
203,204,239
203,204,239
203,204,239
203,204,239
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
203,204,241
204,204,241
204,204,241
204,204,241
204,204,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,241
204,205,242
205,205,242
205,205,242
205,205,242
205,205,242
205,205,243
205,206,243
205,206,243
206,206,243
206,206,244
206,206,244
206,206,245
206,206,245
206,206,245
206,206,245
206,207,245
206,207,245
206,207,246
206,207,246
206,207,246
206,207,247
206,207,247
207,207,247
207,208,247
207,208,248
207,208,248
207,208,248
207,208,248
207,208,248
207,208,248
207,208,248
207,208,248
207,208,248
207,209,248
208,209,248
208,209,248
208,209,248
208,209,250
208,210,250
208,210,250
208,210,251
208,210,251
208,210,251
208,210,251
208,210,251
208,210,251
208,210,251
208,210,251
208,210,251
208,210,255
208,210,257
208,210,257
208,210,257
208,210,259
208,210,259
208,210,259
208,210,259
208,210,259
208,210,259
208,210,259
208,210,259
208,210,259
208,211,259
208,211,259
208,211,260
209,211,260
209,211,260
209,211,260
209,211,260
209,211,260
209,211,260
209,211,260
209,211,260
209,211,260
209,211,260
209,211,261
209,211,261
209,211,261
209,211,261
209,211,261
209,211,261
209,211,261
209,211,261
209,211,261
209,211,261
209,211,261
209,211,
209,211,
209,211,
209,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
210,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,211,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,212,
211,213,
211,213,
211,213,
211,213,
211,213,
211,213,
211,213,
211,213,
211,213,
211,214,
211,214,
211,214,
211,214,
211,214,
211,214,
211,214,
211,214,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
211,215,
212,215,
212,215,
212,215,
212,215,
212,215,
212,215,
212,215,
212,215,
212,215,
213,215,
213,215,
213,215,
213,215,
213,215,
213,215,
213,215,
213,215,
213,215,
213,215,
213,215,
213,215,
214,215,
214,216,
214,216,
214,216,
214,216,
214,216,
214,216,
214,216,
214,216,
214,216,
214,216,
214,216,
214,216,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
215,217,
216,217,
216,217,
216,217,
216,217,
216,217,
216,217,
216,217,
216,217,
216,217,
216,217,
216,218,
216,218,
216,218,
217,218,
217,218,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
217,219,
218,219,
218,219,
218,219,
218,219,
218,219,
218,220,
218,220,
218,220,
218,220,
218,220,
218,220,
218,220,
219,220,
219,220,
219,220,
219,220,
219,220,
219,220,
219,220,
219,220,
219,220,
219,220,
219,220,
219,221,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,222,
219,223,
219,224,
219,224,
219,224,
219,224,
219,224,
219,224,
219,224,
219,225,
219,225,
219,225,
219,225,
219,225,
219,225,
219,225,
219,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,225,
220,226,
220,226,
220,226,
220,226,
220,226,
221,226,
221,226,
221,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
222,226,
223,226,
223,226,
223,227,
223,227,
223,227,
223,227,
223,227,
223,227,
223,227,
223,227,
223,227,
224,227,
224,227,
224,227,
224,227,
224,227,
224,227,
224,227,
224,227,
224,227,
224,227,
224,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,227,
225,228,
225,228,
226,228,
226,228,
226,229,
226,229,
226,229,
226,229,
226,229,
226,229,
226,230,
226,230,
226,230,
226,230,
226,231,
226,231,
226,231,
226,231,
226,232,
226,232,
226,232,
226,232,
226,232,
226,232,
226,232,
226,232,
226,232,
226,232,
227,232,
227,232,
227,232,
227,232,
227,232,
227,232,
227,232,
227,232,
227,232,
227,233,
227,233,
227,233,
227,233,
227,233,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
227,234,
228,234,
228,234,
228,234,
228,234,
228,234,
231,234,
231,234,
231,234,
231,234,
231,234,
231,234,
231,234,
231,234,
231,234,
231,234,
231,234,
232,234,
232,234,
232,234,
232,234,
232,234,
232,234,
232,234,
232,234,
232,234,
232,234,
232,234,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,235,
232,238,
232,238,
232,238,
233,238,
233,239,
233,239,
233,239,
233,239,
233,239,
233,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,241,
234,242,
234,242,
234,245,
234,245,
234,246,
234,247,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,248,
234,250,
234,251,
234,251,
234,251,
234,251,
234,251,
234,251,
234,251,
234,251,
234,252,
234,252,
234,252,
234,252,
234,252,
234,252,
234,253,
234,253,
234,253,
234,257,
234,260,
234,260,
234,260,
235,260,
235,260,
235,260,
235,261,
235,261,
235,261,
235,261,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
235,,
236,,
236,,
236,,
236,,
236,,
237,,
237,,
237,,
237,,
237,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
238,,
239,,
239,,
239,,
239,,
239,,
239,,
239,,
239,,
239,,
239,,
239,,
239,,
239,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
241,,
242,,
242,,
242,,
243,,
243,,
243,,
243,,
244,,
244,,
244,,
244,,
244,,
244,,
244,,
244,,
244,,
244,,
244,,
244,,
245,,
245,,
245,,
245,,
245,,
245,,
245,,
245,,
245,,
245,,
245,,
245,,
247,,
247,,
247,,
247,,
247,,
247,,
247,,
247,,
247,,
247,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
248,,
249,,
249,,
249,,
252,,
252,,
252,,
252,,
252,,
257,,
257,,
257,,
257,,
258,,
258,,
258,,
258,,
258,,
258,,
258,,
258,,
259,,
259,,
259,,
260,,
260,,
260,,
260,,
260,,
260,,
260,,
260,,
260,,
260,,
261,,
261,,
261,,
261,,
261,,
263,,
264,,
264,,
264,,
265,,
265,,
265,,
265,,
271,,
271,,
271,,
