Hatchery Summer Steelhead,Hatchery Winter Steelhead
009,002
009,002
009,002
009,002
009,002
009,002
016,002
016,004
016,004
016,004
016,004
016,004
155,004
155,004
155,004
155,004
155,004
155,004
155,004
155,004
155,004
155,004
155,005
155,005
155,005
155,005
155,005
155,005
155,005
155,005
155,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,005
168,007
168,007
168,007
168,007
168,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
183,007
189,007
189,009
189,009
192,009
192,009
192,009
192,009
192,009
192,010
192,010
192,010
192,013
192,013
192,013
192,013
202,013
202,013
202,013
202,013
202,013
202,013
202,013
202,013
202,013
202,013
202,014
202,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
209,014
212,014
212,014
212,014
212,014
212,014
212,014
212,014
216,015
216,015
216,015
216,015
216,015
216,015
216,016
216,016
216,019
216,019
216,019
216,019
216,019
216,019
216,019
216,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,019
225,020
226,020
226,020
227,020
227,020
227,022
227,022
227,022
227,022
228,022
228,022
228,022
228,022
229,022
229,022
229,022
229,022
229,022
230,022
230,022
234,024
234,024
234,024
234,024
234,024
234,024
234,024
236,025
236,025
237,025
237,025
237,028
237,028
237,028
244,028
244,028
248,028
248,030
252,030
252,030
252,030
252,030
256,030
256,030
256,030
256,030
256,030
256,030
256,030
257,030
257,030
293,030
293,030
293,030
293,030
293,030
293,030
293,030
293,030
293,030
293,031
293,031
293,031
293,031
293,031
293,031
293,043
293,043
293,043
293,043
293,043
293,043
293,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
295,331
296,331
296,331
296,331
296,331
296,331
296,331
296,331
297,331
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
297,340
298,340
298,340
298,340
298,340
298,340
298,340
298,340
298,340
298,340
300,340
300,343
302,343
302,343
302,343
302,343
302,343
302,343
302,343
302,343
302,343
302,345
302,345
304,345
304,345
304,345
304,345
306,345
306,345
309,345
309,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,345
310,346
310,346
310,346
311,346
311,346
311,346
311,346
311,350
311,350
311,350
311,350
311,350
311,350
311,350
311,350
311,350
311,350
311,350
311,350
311,350
311,350
315,350
315,350
320,350
320,350
323,350
323,350
324,350
324,350
324,350
324,350
324,350
324,350
324,357
324,357
324,357
324,357
324,357
324,357
324,357
324,357
324,357
324,357
324,357
324,357
324,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,357
325,360
325,360
325,360
325,360
325,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,360
326,362
326,362
326,362
326,362
326,362
331,362
331,362
331,362
331,362
331,362
331,362
331,362
331,362
331,362
331,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
337,362
345,362
345,362
345,362
345,362
345,362
357,362
357,365
357,365
357,365
357,365
357,365
357,365
357,365
357,365
357,365
357,365
357,365
357,365
357,365
,365
